"from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count","year","month","day"
6815841748,"Barack Obama","Make sure your favorite moms feel appreciated today.

Happy Mother's Day.","2013-05-12T15:46:40+0000","photo","https://www.facebook.com/photo.php?fbid=10151582457336749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151582457451749",258347,11518,11498,"2013","05","12"
6815841748,"Barack Obama","Last week, OFA volunteers and victims of gun violence delivered 1.4 million signatures to Congress demanding expanded background checks for gun sales.

Watch their story, and see why they're not backing down: http://OFA.BO/6VcisY","2013-05-13T18:39:44+0000","photo","https://www.facebook.com/photo.php?fbid=10151584355131749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151584355161749",42399,9948,3359,"2013","05","13"
6815841748,"Barack Obama","Share this if you agree. We've waited long enough.","2013-05-14T20:36:23+0000","photo","https://www.facebook.com/photo.php?fbid=10151586008291749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151586008351749",84055,8569,9636,"2013","05","14"
6815841748,"Barack Obama","They're voting to repeal Obamacare again? This cat has a message for the House of Representatives.","2013-05-16T00:07:06+0000","photo","https://www.facebook.com/photo.php?fbid=10151587761716749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151587761751749",87035,13785,9560,"2013","05","16"
6815841748,"Barack Obama","Pakistani entrepreneur Faizan Buzdar wanted to bring big ideas to the U.S. and hire American workers for his tech startup. Our broken immigration system stood in his way. 

Check out the video of Faizan's American Story, and add your support to the March for Innovation: http://OFA.BO/ptdsKH","2013-05-16T22:09:14+0000","photo","https://www.facebook.com/photo.php?fbid=10151589089551749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151589089676749",17804,4077,1540,"2013","05","16"
6815841748,"Barack Obama","Can I come in?","2013-05-17T19:33:43+0000","photo","https://www.facebook.com/photo.php?fbid=10151590309371749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151590309446749",209051,11142,8115,"2013","05","17"
6815841748,"Barack Obama","President Obama gets a literacy lesson while visiting a pre-K classroom at Moravia Elementary School in Baltimore.

Share if you believe in the importance of early childhood education.","2013-05-18T14:59:34+0000","photo","https://www.facebook.com/photo.php?fbid=10151591386626749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151591386656749",112200,15780,13699,"2013","05","18"
6815841748,"Barack Obama","Join the March for Innovation this week, and let Congress know that now is the time for immigration reform: http://OFA.BO/tPQBaM","2013-05-21T00:13:29+0000","photo","https://www.facebook.com/photo.php?fbid=10151595264506749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151595264521749",37289,5454,3314,"2013","05","21"
6815841748,"Barack Obama","Help the families devastated by tornadoes in Oklahoma by supporting the efforts of the Red Cross: http://OFA.BO/TUpaHS","2013-05-21T17:22:44+0000","photo","https://www.facebook.com/photo.php?fbid=10151596345056749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151596345116749",112917,4115,12434,"2013","05","21"
6815841748,"Barack Obama","Are you signed up for tomorrow's Thunderclap? Join the March for Innovation to tell Congress to pass immigration reform.","2013-05-21T21:45:56+0000","link","https://www.thunderclap.it/projects/1339-the-march-for-innovation","6815841748_10151596724506749",9279,4736,389,"2013","05","21"
